"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",27.73,19.01,695.3,476.65
"2","ARM","Armenia",17.76,20.87,82.05,96.44
"3","AUT","Austria",12.91,11.38,484.92,427.13
"4","BLR","Belarus",16.78,32.22,130.45,250.45
"5","BEL","Belgium",17.04,12.6,607.64,449.27
"6","BIH","Bosnia and Herzegovina",16.02,16.69,77.67,80.93
"7","BGR","Bulgaria",31.72,21.65,224.29,153.09
"8","HRV","Croatia",19.49,16.53,230.45,195.38
"9","CYP","Cyprus",14.65,8.66,314.09,185.65
"10","CZE","Czech Republic",18.56,15.73,320.9,272.06
"11","DNK","Denmark",13.52,12.59,614.44,572.26
"12","EST","Estonia",23.44,19.4,351.64,290.96
"13","FIN","Finland",7.39,12.07,267.48,436.98
"14","FRA","France",12.69,11.43,407.69,367.05
"15","GEO","Georgia",14.22,21.25,60.48,90.4
"16","DEU","Germany",18.68,11.64,659.26,410.99
"17","GRC","Greece",15.59,10.84,287.8,200.17
"18","HUN","Hungary",32.1,21.96,400.93,274.25
"19","IRL","Ireland",14.09,11.34,715.63,575.84
"20","ITA","Italy",15.02,9.52,415.87,263.58
"21","KAZ","Kazakhstan",32.76,31.45,230.22,220.97
"22","KGZ","Kyrgyzstan",14.19,27.35,20.32,39.16
"23","LVA","Latvia",26.74,23.95,346.63,310.37
"24","LTU","Lithuania",24.33,24.42,327.21,328.4
"25","LUX","Luxembourg",10.93,10.21,759.87,709.88
"26","MLT","Malta",16.67,10.5,333.8,210.32
"27","MDA","Moldova",12.46,30.29,27.18,66.08
"28","NLD","Netherlands",10.9,10.65,425.33,415.72
"29","NOR","Norway",12.1,10.1,640.12,534.39
"30","POL","Poland",23.33,18.85,281.75,227.71
"31","PRT","Portugal",19.36,11.71,354,214.04
"32","ROU","Romania",28.56,21.31,217.87,162.57
"33","RUS","Russia",20.61,32.14,160.18,249.75
"34","SRB","Serbia",31.08,20.63,182.21,120.95
"35","SVK","Slovakia",26.31,19.88,450.79,340.57
"36","SVN","Slovenia",16.34,13.43,318.62,261.92
"37","ESP","Spain",9.75,9.67,244.37,242.38
"38","SWE","Sweden",8.31,9.6,331.47,383.23
"39","CHE","Switzerland",8.1,9.13,522.95,589.55
"40","TJK","Tajikistan",5.62,5.06,8.04,7.24
"41","TUR","Turkey",17.62,15.26,202.92,175.67
"42","GBR","UK",16.28,11.89,657.31,480.02
"43","UKR","Ukraine",21.41,29.24,40.02,54.64
"44","UZB","Uzbekistan",22.16,30.99,31.73,44.38
